outage_id,outage_s,run_id,baseline_cpp_strapdown_v1,baseline_cv_heading_v1,corrected_init_strapdown_v1,ekf_zupt_nhc_v1,ekf_zupt_nhc_v2,ekf_zupt_nhc_v3,v1,v2,v3,diff_v3_v2,diff_v3_v1,cross_v2,cross_v3,cross_diff,along_v2,along_v3,along_diff,head_v2,head_v3,head_diff
pair_Vta21__60s__0,60,pair_Vta21,15209.221128896996,1407.3652680399855,15936.731917279976,522.2882371902537,484.1316526527708,501.2064686307671,522.2882371902537,484.1316526527708,501.2064686307671,17.07481597799631,-21.081768559486534,12.958471165644935,-124.84548210319724,-137.80395326884218,-483.9517961979636,-485.40609508417975,-1.4542988862161792,173.92119804687502,85.07030195312501,-88.85089609375001
pair_Vta22__10s__0,10,pair_Vta22,72.2458910773835,68.81825922181169,22.173145044498792,161.48454011375296,144.09164233590352,150.80768256803665,161.48454011375296,144.09164233590352,150.80768256803665,6.716040232133139,-10.676857545716302,-6.877815479491918,-12.271091222160337,-5.393275742668418,-143.9279113064179,-150.3082293243312,-6.380318017913282,77.19750262451171,74.21990262451172,-2.9775999999999954
pair_Vta22__30s__0,30,pair_Vta22,685.8779183476752,47.63036849129203,733.4342673067769,361.6136670416387,360.5760970272319,374.3868464273544,361.6136670416387,360.5760970272319,374.3868464273544,13.81074940012246,12.773179385715707,-204.6508485054008,-169.3383642589136,35.3124842464872,-296.8785957214293,-333.90736693004607,-37.028771208616774,96.00139749755856,113.58309749755858,17.581700000000026
pair_Vta23__60s__0,60,pair_Vta23,8116.868433788525,420.1751653936183,7932.158505028886,605.1526030654142,403.0915304321719,465.7958288255068,605.1526030654142,403.0915304321719,465.7958288255068,62.70429839333491,-139.35677423990734,-52.63562285327353,20.874810781320832,73.51043363459436,-399.64619497072255,-465.3334844090327,-65.68728943831013,127.63200335693358,136.4716033569336,8.839600000000019
pair_Vta24__60s__0,60,pair_Vta24,466.0802259885888,341.69198063829015,437.3363238617167,495.9859006198448,466.6605024522879,520.5900979761528,495.9859006198448,466.6605024522879,520.5900979761528,53.92959552386492,24.60419735630802,463.4376464644566,513.0173232321101,49.57967676765355,-54.76095523569411,-88.48986060763538,-33.728905371941266,147.91139951171874,86.05679951171875,-61.85459999999999
pair_Vta26__120s__0,120,pair_Vta26,18433.79095145449,483.834910691462,21720.155235305265,657.818668773176,510.9030044466536,549.0767677242442,657.818668773176,510.9030044466536,549.0767677242442,38.17376327759058,-108.74190104893182,-333.2507422502529,182.42579218635709,515.67653443661,-387.2405247106559,-517.8861706338985,-130.64564592324257,84.81250062561037,94.97230062561032,10.159799999999947
pair_Vta26__30s__0,30,pair_Vta26,35.99925037876349,1.455939622497142,86.57852957755642,1.907443214735316,1.688478956947023,1.909356091532817,1.907443214735316,1.688478956947023,1.909356091532817,0.22087713458579383,0.001912876797500962,-0.5791374545289202,-0.4808017107610127,0.09833574376790749,-1.586052061201493,-1.847828598212126,-0.2617765370106331,64.80199926757811,57.535299267578125,-7.266699999999986
pair_Vta26__60s__0,60,pair_Vta26,487.9397363634027,20.65178305494988,853.7005027354329,31.90060480419366,26.30246829844599,32.10000371185816,31.90060480419366,26.30246829844599,32.10000371185816,5.797535413412167,0.19939890766449864,-3.8561686058687625,1.1633295714319605,5.019498177300723,26.01825094355352,32.078892818842945,6.0606418752894236,29.11850000000001,8.550099999999986,-20.568400000000025
pair_Vta27__10s__0,10,pair_Vta27,451.47891075967095,337.8663010203509,454.013683051189,487.6987176374396,416.4095907397223,430.0276264479664,487.6987176374396,416.4095907397223,430.0276264479664,13.618035708244065,-57.6710911894732,178.39801857442595,186.78775854684392,8.38973997241797,-376.2542743715613,-387.3368370992122,-11.082562727650895,6.93368730468751,25.08438730468748,18.15069999999997
pair_Vta27__30s__0,30,pair_Vta27,691.8541344632947,376.9199834138152,828.4510133258254,786.6269016021603,661.6283916536593,739.0632824734896,786.6269016021603,661.6283916536593,739.0632824734896,77.43489081983034,-47.563619128670666,216.2485794939679,167.8154490163394,-48.43313047762851,-625.2832320951667,-719.7529490905404,-94.46971699537369,4.002193164062476,84.52319316406249,80.52100000000002
pair_Vta27__60s__0,60,pair_Vta27,8474.399618263004,870.0027515676247,10231.611769877583,1302.7389183073456,1176.9344422549798,1247.3083681280302,1302.7389183073456,1176.9344422549798,1247.3083681280302,70.37392587305044,-55.43055017931533,174.80672996330705,163.23990431757298,-11.56682564573407,-1163.8674666229238,-1236.5674748442711,-72.70000822134739,111.95941318359375,14.188813183593766,-97.77059999999999
pair_Vta29__120s__0,120,pair_Vta29,38373.33867920986,1132.156506905225,42548.93332633275,1980.1607411274208,2309.9864512843974,2324.846352639941,1980.1607411274208,2309.9864512843974,2324.846352639941,14.85990135554357,344.68561151252015,1994.3010614297064,2018.8017992596408,24.50073782993445,-1165.6258242038796,-1152.9178922639867,12.707931939892887,143.02869945068358,126.2465005493164,-16.78219890136718
pair_Vta29__30s__0,30,pair_Vta29,282.91197658694193,170.07782441943596,492.7843221310301,46.700541205022766,62.01579468230485,62.48124521009248,46.700541205022766,62.01579468230485,62.48124521009248,0.4654505277876311,15.780704005069715,16.436830653350682,7.457277182457837,-8.979553470892846,-59.7979500878748,-62.03461208360926,-2.2366619957344582,7.7291109863281235,18.543410986328126,10.814300000000003
pair_Vta29__60s__0,60,pair_Vta29,12674.443308070417,673.0211636164382,11922.142582108365,1041.7776204792112,681.2031788464545,959.300262264156,1041.7776204792112,681.2031788464545,959.300262264156,278.09708341770147,-82.47735821505523,59.86688978106838,193.1972163631349,133.33032658206653,-678.5654092656099,-939.6437085934108,-261.0782993278009,140.49249961853025,0.1078003814697297,-140.38469923706052
pair_Vta2__120s__0,120,pair_Vta2,41031.829447295546,358.9429282858408,25102.141532251648,1071.3894844154245,992.4909278200508,1075.7902732324692,1071.3894844154245,992.4909278200508,1075.7902732324692,83.29934541241835,4.400788817044713,-361.235826544017,-313.2648790011159,47.970947542901115,-924.408198892374,-1029.163749350352,-104.75555045797796,70.16171269531247,125.0271126953125,54.86540000000002
pair_Vta2__180s__0,180,pair_Vta2,7318.400606037819,506.51337153217526,55714.30051747351,1585.8654764131518,1481.3807691129534,1641.418442657238,1585.8654764131518,1481.3807691129534,1641.418442657238,160.03767354428464,55.55296624408629,-1443.68424423987,-1552.1704475358156,-108.48620329594564,-332.0533318932174,-533.8737539279512,-201.82042203473378,25.83539658203125,123.10270341796874,97.26730683593749
pair_Vta30__120s__0,120,pair_Vta30,40491.56357744021,1210.3453421642282,46726.59029862858,282.7192896854146,157.85834720012164,419.5348163426007,282.7192896854146,157.85834720012164,419.5348163426007,261.67646914247905,136.81552665718613,100.02451051562522,153.45979412448852,53.4352836088633,122.12513627932958,-390.45657899118703,-512.5817152705166,42.0331958496094,31.38339584960937,-10.649800000000027
pair_Vta30__180s__0,180,pair_Vta30,28882.561418216712,666.9088563723939,8075.873119395751,571.9288565398648,310.20290368154525,704.9110144754205,571.9288565398648,310.20290368154525,704.9110144754205,394.7081107938753,132.98215793555573,-115.24065278085617,-306.5296061729133,-191.28895339205712,-288.00196965921543,-634.7735313407256,-346.7715616815102,116.88190512695314,83.26569487304687,-33.616210253906274
pair_Vta30__60s__0,60,pair_Vta30,9660.12562366117,119.53277062856934,10671.348463414217,387.5430038292619,338.206591508315,364.9810165419125,387.5430038292619,338.206591508315,364.9810165419125,26.77442503359748,-22.56198728734944,-153.10023792151364,-192.69401446519245,-39.593776543678814,-301.5681746606423,-309.9658908783284,-8.397716217686138,92.65410097656252,52.56010097656253,-40.09399999999999
pair_Vta4__120s__0,120,pair_Vta4,12411.004830174084,581.5034097874897,12847.625782689394,1168.408065178603,1016.7393430458328,1086.8694905713046,1168.408065178603,1016.7393430458328,1086.8694905713046,70.13014752547178,-81.53857460729841,60.99949104043185,62.55505955296735,1.5555685125355012,-1014.8745682543912,-1085.029931039442,-70.1553627850509,19.64210219726561,6.354402197265642,-13.287699999999969
pair_Vta6__10s__0,10,pair_Vta6,203.93976627552627,167.2899676239653,254.3352298027503,359.5700708040343,310.21564052915505,314.5852883469874,359.5700708040343,310.21564052915505,314.5852883469874,4.369647817832345,-44.98478245704689,10.126827377690232,31.960413126985344,21.83358574929511,-310.04778095816897,-312.95454633361345,-2.906765375444479,75.47018950195314,67.62808950195313,-7.842100000000016
pair_Vta7__10s__0,10,pair_Vta7,22.70599061154787,38.06528045401365,22.64013019777091,52.21912256842977,64.77792551047594,71.3563988912493,52.21912256842977,64.77792551047594,71.3563988912493,6.57847338077336,19.13727632281953,-5.219959802146765,-5.156155342175746,0.06380445997101969,-64.5672524691697,-71.16985200723155,-6.6025995380618525,59.614899992370624,63.98239999237063,4.367500000000007
pair_Vta7__30s__0,30,pair_Vta7,361.6277151936044,371.3908502808313,486.3951185270868,551.714258209751,401.62128463684985,556.3216841564428,551.714258209751,401.62128463684985,556.3216841564428,154.7003995195929,4.607425946691706,-98.39626799868454,-103.80954012196692,-5.413272123282383,-389.3802347185136,-546.5491742176326,-157.16893949911906,23.89259998521805,15.266499985218047,-8.626100000000005
pair_Vta8__10s__0,10,pair_Vta8,77.15849518848296,25.90306785720168,107.62511013222536,197.71275498911749,155.79738733104787,175.79873486149114,197.71275498911749,155.79738733104787,175.79873486149114,20.00134753044327,-21.914020127626344,-40.00937858733266,-1.3320072389241204,38.67737134840854,-150.571665479452,-175.79245523436865,-25.220789754916638,88.41210048828123,78.58620048828124,-9.82589999999999
pair_Vta8__30s__0,30,pair_Vta8,2507.5180458907703,217.00845339411035,2573.825456905261,518.4645827275677,407.0346441555678,448.6801661381475,518.4645827275677,407.0346441555678,448.6801661381475,41.64552198257974,-69.78441658942023,178.09249897388608,110.1726835318409,-67.91981544204518,-366.00282625455736,-434.9368004833716,-68.93397422881424,36.32580585937501,73.611405859375,37.28559999999999
pair_Vtb11__10s__0,10,pair_Vtb11,34.78676556015135,54.81747595294199,34.77718546075514,170.6594248085142,99.41469765052938,126.83742447927148,170.6594248085142,99.41469765052938,126.83742447927148,27.4227268287421,-43.82200032924271,-9.610530535008088,-13.643158700392496,-4.032628165384407,-98.94946361160794,-126.10216514799538,-27.15270153638744,29.277403173828134,9.681703173828112,-19.595700000000022
pair_Vtb1__10s__0,10,pair_Vtb1,134.4705016845965,38.12132817308131,125.89214121971904,255.91695542460704,217.69819026198903,229.07312285517628,255.91695542460704,217.69819026198903,229.07312285517628,11.374932593187253,-26.84383256943076,-14.39599606703458,-12.964236464569268,1.4317596024653128,-217.22121869948984,-228.70541848732887,-11.484199787839032,120.19579621582034,113.4352962158203,-6.760500000000036
pair_Vtb1__30s__0,30,pair_Vtb1,5104.720177342287,3378.780859214867,1066.919322291048,3320.109776434471,2950.0790851033653,3404.84479423245,3320.109776434471,2950.0790851033653,3404.84479423245,454.7657091290848,84.73501779797925,160.57814543816443,479.08140048934325,318.5032550511788,2945.5849849010515,3370.714598067145,425.12961316609335,77.17929853515625,83.57240146484378,6.3931029296875295
pair_Vtb1__60s__0,60,pair_Vtb1,12979.535764725852,371.69777357211314,12433.362005250232,699.4595955435975,781.5741026256537,814.1587833345179,699.4595955435975,781.5741026256537,814.1587833345179,32.5846807088642,114.6991877909204,-413.6290698724567,-371.0714196377481,42.5576502347086,-663.1420102388715,-724.6664650583731,-61.52445481950156,153.3727958496094,14.55659584960938,-138.8162
pair_Vtb2__120s__0,120,pair_Vtb2,14811.46602595714,498.7502230895913,13149.241112956724,814.8976159348933,895.3356237059992,957.1838564014596,814.8976159348933,895.3356237059992,957.1838564014596,61.84823269546041,142.28624046656626,-870.4891670657121,-950.5825606161756,-80.09339355046347,209.5992355981728,-112.45290850853884,-322.05214410671164,169.59560080871586,81.49349919128417,-88.10210161743169
pair_Vtb2__30s__0,30,pair_Vtb2,1197.367074841727,183.04885884641672,1232.3808279445318,310.81027232686193,198.8208614158477,282.6207583011164,310.81027232686193,198.8208614158477,282.6207583011164,83.79989688526868,-28.189514025745552,171.9949792751185,246.2893778082289,74.29439853311038,-99.73974868897125,-138.6275744267945,-38.88782573782325,61.91370366210936,155.6422036621094,93.72850000000005
pair_Vtb2__60s__0,60,pair_Vtb2,9645.682604497066,580.7306857167624,8235.429760575915,855.5058808965643,751.6171478474005,846.0674896961814,855.5058808965643,751.6171478474005,846.0674896961814,94.45034184878091,-9.438391200382966,-187.8738513706876,-224.2259003688852,-36.3520489981976,-727.7515303117061,-815.8048527580358,-88.05332244632973,94.94590512695314,149.52270512695313,54.57679999999999
pair_Vtb3__180s__0,180,pair_Vtb3,15511.733603147892,82.45322162972195,60640.72488235282,106.16888469518712,105.34173599718557,105.62498019940412,106.16888469518712,105.34173599718557,105.62498019940412,0.2832442022185546,-0.5439044957829964,11.861508594907235,11.376567115390772,-0.48494147951646305,-104.6716318805468,-105.0103486298694,-0.3387167493226002,132.721905859375,147.589005859375,14.867099999999994
pair_Vtb3__60s__0,60,pair_Vtb3,1017.8529355977066,50.45646169359263,2517.6926214391497,42.934286417430535,42.192375971703015,42.69761259198656,42.934286417430535,42.192375971703015,42.69761259198656,0.5052366202835472,-0.23667382544397242,11.587503247838027,11.666891375762091,0.07938812792406402,-40.5699957080932,-41.0727144423996,-0.5027187343063986,166.63989072265622,171.10230927734375,4.462418554687531
