outage_id,run_id,outage_s,env,speed_cat,timing_cat,start_s,v0,mean_ax,max_ax,mean_gz,max_gz,err_v1,err_v2,diff,status
pair_Vta25__30s__0,pair_Vta25,30,Urban / Suburban,Low (<5 m/s),Early (<120s),13.5,0.0,0.524848,3.3875,0.032974333333333335,0.2444,26.504820806683146,34.708319858313125,8.20349905162998,regressed
pair_Vta26__10s__0,pair_Vta26,10,Urban / Suburban,Low (<5 m/s),Late (>=120s),156.5,0.0,0.9119979999999999,6.3652,0.06103999999999999,0.3645,8.854355683064208,23.25410158488019,14.399745901815981,regressed
pair_Vta26__30s__0,pair_Vta26,30,Urban / Suburban,Low (<5 m/s),Early (<120s),98.4,0.0,0.17198266666666664,2.812,0.016498,0.5515,1.907443214735316,1.688478956947023,-0.21896425778829287,improved
pair_Vta26__60s__0,pair_Vta26,60,Urban / Suburban,Low (<5 m/s),Early (<120s),90.8,0.0,0.24034383333333334,2.812,0.020816666666666667,0.5515,31.90060480419366,26.30246829844599,-5.598136505747668,improved
pair_Vta26__120s__0,pair_Vta26,120,Urban / Suburban,Med (5-15 m/s),Early (<120s),27.4,8.86,1.2952715833333333,15.1024,0.10248166666666668,1.2371,657.818668773176,510.9030044466536,-146.9156643265224,improved
pair_Vta27__10s__0,pair_Vta27,10,Urban / Suburban,Med (5-15 m/s),Early (<120s),115.1,14.56,2.6118189999999997,9.3973,0.28274,0.8619,487.6987176374396,416.4095907397223,-71.28912689771727,improved
pair_Vta27__30s__0,pair_Vta27,30,Urban / Suburban,Med (5-15 m/s),Early (<120s),115.5,14.56,3.0396763333333334,14.7519,0.25243099999999996,1.1345,786.6269016021603,661.6283916536593,-124.99850994850101,improved
pair_Vta27__60s__0,pair_Vta27,60,Urban / Suburban,Med (5-15 m/s),Late (>=120s),122.6,12.76,3.4798529983333326,18.771299,0.2488898333333334,1.1345,1302.7389183073456,1176.9344422549798,-125.80447605236577,improved
pair_Vta27__120s__0,pair_Vta27,120,Urban / Suburban,Med (5-15 m/s),Early (<120s),98.5,13.65,3.1101146666666666,18.771299,0.23297808333333336,1.4064,1911.8684729714664,1943.6610144741471,31.792541502680706,regressed
pair_Vta27__180s__0,pair_Vta27,180,Urban / Suburban,Low (<5 m/s),Early (<120s),27.0,3.14,2.7007308333333335,18.771299,0.1994175,1.4064,2326.360362555906,2573.967165335435,247.60680277952906,regressed
pair_Vta28__10s__0,pair_Vta28,10,Urban / Suburban,Low (<5 m/s),Early (<120s),80.6,0.0,0.337591,2.477,0.030054999999999995,0.3539,3.070398621608856,3.109354106198057,0.038955484589201284,unchanged
pair_Vta28__30s__0,pair_Vta28,30,Urban / Suburban,High (>15 m/s),Late (>=120s),202.4,18.02,1.607624,8.5252,0.16017866666666666,0.8389,250.53690958281743,343.59371887594625,93.05680929312882,regressed
pair_Vta28__60s__0,pair_Vta28,60,Urban / Suburban,Med (5-15 m/s),Late (>=120s),143.4,8.11,1.8475548333333336,7.506,0.1505225,0.7539,219.9656402732342,265.96196820857693,45.99632793534275,regressed
pair_Vta28__120s__0,pair_Vta28,120,Urban / Suburban,Low (<5 m/s),Early (<120s),92.3,0.0,1.6238791666666665,7.506,0.11939583333333334,0.7539,318.3722030121041,368.4305819260219,50.05837891391781,regressed
pair_Vta28__180s__0,pair_Vta28,180,Urban / Suburban,Med (5-15 m/s),Late (>=120s),172.6,12.33,1.6671421111111113,10.1519,0.17934605555555555,1.1108,1581.3194941041345,1818.482955112269,237.16346100813462,regressed
pair_Vta29__10s__0,pair_Vta29,10,Urban / Suburban,Low (<5 m/s),Late (>=120s),816.7,2.08,0.727926,3.4247,0.04494499999999999,0.2014,33.006745073442204,29.725951696746456,-3.2807933766957476,improved
pair_Vta29__30s__0,pair_Vta29,30,Urban / Suburban,Med (5-15 m/s),Late (>=120s),690.6,7.7,0.9779943333333332,10.2799,0.06133466666666667,1.1353,46.700541205022766,62.01579468230485,15.315253477282084,regressed
pair_Vta29__60s__0,pair_Vta29,60,Urban / Suburban,High (>15 m/s),Late (>=120s),1589.5,15.54,1.8330816666666665,12.27,0.17512866666666665,0.9517,1041.7776204792112,681.2031788464545,-360.5744416327567,improved
